Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_767.jpg,0,0,0,0,99.66999,85.58897,0.0002412428,40.89254,-2.917614E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_809.jpg,0,0,0,0,99.66999,85.58897,0.0002408132,40.89254,-2.849246E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_851.jpg,0,0,0,0,99.66999,85.58897,0.0002405554,40.89254,-2.767154E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_894.jpg,0,0,0,0,99.66999,85.58897,0.0002404032,40.89254,-2.656778E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_935.jpg,0,0,0,0,99.66999,85.58897,0.0002401622,40.89254,-2.52699E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_18_978.jpg,0,0,0,0,99.66999,85.58897,0.0002397577,40.89254,-2.387074E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_021.jpg,0,0,0,0,99.66999,85.58897,0.0002393615,40.89254,-2.223309E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_062.jpg,0,0,0,0,99.66999,85.58897,0.0002390402,40.89254,-2.050257E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_104.jpg,0,0,0,0,99.66999,85.58897,0.0002385553,40.89254,-1.867077E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_145.jpg,0,0,0,0,99.66999,85.58897,0.0002381148,40.89254,-1.693606E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_187.jpg,-1.191105,0,0,0,99.66999,85.58897,0.0002373807,40.87411,-1.482903E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_229.jpg,-3.072996,0,0,0,99.66999,85.58897,0.0002361551,40.48096,-9.784089E-06
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_270.jpg,-4.949502,0,0,0,99.66999,85.58897,0.0002355882,39.95415,-5.920593E-06
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_312.jpg,-6.823164,0,0,0,99.66999,85.58897,0.0002352714,39.21036,-1.308826E-06
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_353.jpg,-8.663535,0,0,0,99.66999,85.58897,0.0002334272,38.24931,3.920004E-06
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_394.jpg,-10.50498,0,0,0,99.66999,85.58897,0.0002330157,37.06686,1.026288E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_434.jpg,-12.32936,0,0,0,99.66999,85.58897,0.000231037,35.67512,1.610794E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_475.jpg,-14.16226,0,0,0,99.66999,85.58897,0.0002297127,34.06313,2.289389E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_516.jpg,-15,0,0,0,99.66999,85.58897,0.0002281705,32.27917,2.948466E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_557.jpg,-15,0,0,0,99.66999,85.58897,0.0002254173,30.47916,3.484502E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_599.jpg,-15,0,0,0,99.66999,85.58897,0.0002234642,28.67915,3.979774E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_640.jpg,-15,0,0,0,99.66999,85.58897,0.0002213377,26.87913,4.390061E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_682.jpg,-15,0,0,0,99.66999,85.58897,0.000220255,25.07913,4.764501E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_723.jpg,-15,0,0,0,99.66999,85.58897,0.0002194801,23.27914,5.046027E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_764.jpg,-15,0,0,0,99.66999,85.58897,0.0002185231,21.47915,5.23875E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_806.jpg,-15,0,0,0,99.66999,85.58897,0.0002174123,19.67914,5.419372E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_847.jpg,-15,0,0,0,99.66999,85.58897,0.0002171371,17.87915,5.54006E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_889.jpg,-15,0,0,0,99.66999,85.58897,0.0002177389,15.17912,5.58252E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_929.jpg,-15,0,0,0,99.66999,85.58897,0.0002185502,13.3791,5.556109E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_19_969.jpg,-15,0,0,0,99.66999,85.58897,0.000219825,11.57906,5.552725E-05
/home/jgoppert/rover/train_dataset/IMG/robocam_2017_05_31_23_14_20_011.jpg,-15,0,0,0,99.66999,85.58897,0.0002213055,9.779015,5.483829E-05
